input,target,prompt,variant
inputs/brooklyn_bridge_quadrant_0019_input.png,targets/brooklyn_bridge_quadrant_0019_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: quadrant.,quadrant
inputs/brooklyn_bridge_half_0020_input.png,targets/brooklyn_bridge_half_0020_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: half.,half
inputs/brooklyn_bridge_middle_0021_input.png,targets/brooklyn_bridge_middle_0021_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: middle.,middle
inputs/brooklyn_bridge_rect_strip_0022_input.png,targets/brooklyn_bridge_rect_strip_0022_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_strip.,rect_strip
inputs/brooklyn_bridge_rect_infill_0023_input.png,targets/brooklyn_bridge_rect_infill_0023_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_infill.,rect_infill
inputs/brooklyn_downtown_full_0024_input.png,targets/brooklyn_downtown_full_0024_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: full.,full
inputs/brooklyn_downtown_quadrant_0025_input.png,targets/brooklyn_downtown_quadrant_0025_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: quadrant.,quadrant
inputs/brooklyn_downtown_half_0026_input.png,targets/brooklyn_downtown_half_0026_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: half.,half
inputs/brooklyn_downtown_middle_0027_input.png,targets/brooklyn_downtown_middle_0027_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: middle.,middle
inputs/brooklyn_downtown_rect_strip_0028_input.png,targets/brooklyn_downtown_rect_strip_0028_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_strip.,rect_strip
inputs/brooklyn_downtown_rect_infill_0029_input.png,targets/brooklyn_downtown_rect_infill_0029_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_infill.,rect_infill
inputs/central_park_north_full_0030_input.png,targets/central_park_north_full_0030_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: full.,full
inputs/central_park_north_quadrant_0031_input.png,targets/central_park_north_quadrant_0031_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: quadrant.,quadrant
inputs/central_park_north_half_0032_input.png,targets/central_park_north_half_0032_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: half.,half
inputs/central_park_north_middle_0033_input.png,targets/central_park_north_middle_0033_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: middle.,middle
inputs/central_park_north_rect_strip_0034_input.png,targets/central_park_north_rect_strip_0034_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_strip.,rect_strip
inputs/central_park_north_rect_infill_0035_input.png,targets/central_park_north_rect_infill_0035_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_infill.,rect_infill
inputs/central_park_south_full_0036_input.png,targets/central_park_south_full_0036_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: full.,full
inputs/central_park_south_quadrant_0037_input.png,targets/central_park_south_quadrant_0037_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: quadrant.,quadrant
inputs/central_park_south_half_0038_input.png,targets/central_park_south_half_0038_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: half.,half
inputs/central_park_south_middle_0039_input.png,targets/central_park_south_middle_0039_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: middle.,middle
inputs/central_park_south_rect_strip_0040_input.png,targets/central_park_south_rect_strip_0040_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_strip.,rect_strip
inputs/central_park_south_rect_infill_0041_input.png,targets/central_park_south_rect_infill_0041_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_infill.,rect_infill
inputs/chinatown_full_0042_input.png,targets/chinatown_full_0042_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: full.,full
inputs/chinatown_quadrant_0043_input.png,targets/chinatown_quadrant_0043_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: quadrant.,quadrant
inputs/chinatown_half_0044_input.png,targets/chinatown_half_0044_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: half.,half
inputs/chinatown_middle_0045_input.png,targets/chinatown_middle_0045_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: middle.,middle
inputs/chinatown_rect_strip_0046_input.png,targets/chinatown_rect_strip_0046_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_strip.,rect_strip
inputs/chinatown_rect_infill_0047_input.png,targets/chinatown_rect_infill_0047_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_infill.,rect_infill
inputs/citi_field_full_0048_input.png,targets/citi_field_full_0048_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: full.,full
inputs/citi_field_quadrant_0049_input.png,targets/citi_field_quadrant_0049_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: quadrant.,quadrant
inputs/citi_field_half_0050_input.png,targets/citi_field_half_0050_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: half.,half
inputs/citi_field_middle_0051_input.png,targets/citi_field_middle_0051_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: middle.,middle
inputs/citi_field_rect_strip_0052_input.png,targets/citi_field_rect_strip_0052_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_strip.,rect_strip
inputs/citi_field_rect_infill_0053_input.png,targets/citi_field_rect_infill_0053_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_infill.,rect_infill
inputs/columbia_university_full_0054_input.png,targets/columbia_university_full_0054_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: full.,full
inputs/columbia_university_quadrant_0055_input.png,targets/columbia_university_quadrant_0055_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: quadrant.,quadrant
inputs/columbia_university_half_0056_input.png,targets/columbia_university_half_0056_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: half.,half
inputs/columbia_university_middle_0057_input.png,targets/columbia_university_middle_0057_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: middle.,middle
inputs/columbia_university_rect_strip_0058_input.png,targets/columbia_university_rect_strip_0058_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_strip.,rect_strip
inputs/columbia_university_rect_infill_0059_input.png,targets/columbia_university_rect_infill_0059_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_infill.,rect_infill
inputs/coney_island_full_0060_input.png,targets/coney_island_full_0060_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: full.,full
inputs/coney_island_quadrant_0061_input.png,targets/coney_island_quadrant_0061_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: quadrant.,quadrant
inputs/coney_island_half_0062_input.png,targets/coney_island_half_0062_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: half.,half
inputs/coney_island_middle_0063_input.png,targets/coney_island_middle_0063_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: middle.,middle
inputs/coney_island_rect_strip_0064_input.png,targets/coney_island_rect_strip_0064_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_strip.,rect_strip
inputs/coney_island_rect_infill_0065_input.png,targets/coney_island_rect_infill_0065_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_infill.,rect_infill
inputs/dumbo_full_0066_input.png,targets/dumbo_full_0066_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: full.,full
inputs/dumbo_quadrant_0067_input.png,targets/dumbo_quadrant_0067_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: quadrant.,quadrant
inputs/dumbo_half_0068_input.png,targets/dumbo_half_0068_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: half.,half
inputs/dumbo_middle_0069_input.png,targets/dumbo_middle_0069_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: middle.,middle
inputs/dumbo_rect_strip_0070_input.png,targets/dumbo_rect_strip_0070_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_strip.,rect_strip
inputs/dumbo_rect_infill_0071_input.png,targets/dumbo_rect_infill_0071_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_infill.,rect_infill
inputs/east_village_full_0072_input.png,targets/east_village_full_0072_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: full.,full
inputs/east_village_quadrant_0073_input.png,targets/east_village_quadrant_0073_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: quadrant.,quadrant
inputs/east_village_half_0074_input.png,targets/east_village_half_0074_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: half.,half
inputs/east_village_middle_0075_input.png,targets/east_village_middle_0075_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: middle.,middle
inputs/east_village_rect_strip_0076_input.png,targets/east_village_rect_strip_0076_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_strip.,rect_strip
inputs/east_village_rect_infill_0077_input.png,targets/east_village_rect_infill_0077_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_infill.,rect_infill
inputs/empire_state_full_0078_input.png,targets/empire_state_full_0078_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: full.,full
inputs/empire_state_quadrant_0079_input.png,targets/empire_state_quadrant_0079_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: quadrant.,quadrant
inputs/empire_state_half_0080_input.png,targets/empire_state_half_0080_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: half.,half
inputs/empire_state_middle_0081_input.png,targets/empire_state_middle_0081_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: middle.,middle
inputs/empire_state_rect_strip_0082_input.png,targets/empire_state_rect_strip_0082_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_strip.,rect_strip
inputs/empire_state_rect_infill_0083_input.png,targets/empire_state_rect_infill_0083_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_infill.,rect_infill
inputs/flatiron_full_0084_input.png,targets/flatiron_full_0084_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: full.,full
inputs/flatiron_quadrant_0085_input.png,targets/flatiron_quadrant_0085_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: quadrant.,quadrant
inputs/flatiron_half_0086_input.png,targets/flatiron_half_0086_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: half.,half
inputs/flatiron_middle_0087_input.png,targets/flatiron_middle_0087_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: middle.,middle
inputs/flatiron_rect_strip_0088_input.png,targets/flatiron_rect_strip_0088_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_strip.,rect_strip
inputs/flatiron_rect_infill_0089_input.png,targets/flatiron_rect_infill_0089_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_infill.,rect_infill
inputs/flushing_full_0090_input.png,targets/flushing_full_0090_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: full.,full
inputs/flushing_quadrant_0091_input.png,targets/flushing_quadrant_0091_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: quadrant.,quadrant
inputs/flushing_half_0092_input.png,targets/flushing_half_0092_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: half.,half
inputs/flushing_middle_0093_input.png,targets/flushing_middle_0093_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: middle.,middle
inputs/flushing_rect_strip_0094_input.png,targets/flushing_rect_strip_0094_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_strip.,rect_strip
inputs/flushing_rect_infill_0095_input.png,targets/flushing_rect_infill_0095_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_infill.,rect_infill
inputs/fort_greene_full_0096_input.png,targets/fort_greene_full_0096_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: full.,full
inputs/fort_greene_quadrant_0097_input.png,targets/fort_greene_quadrant_0097_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: quadrant.,quadrant
inputs/fort_greene_half_0098_input.png,targets/fort_greene_half_0098_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: half.,half
inputs/fort_greene_middle_0099_input.png,targets/fort_greene_middle_0099_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: middle.,middle
inputs/fort_greene_rect_strip_0100_input.png,targets/fort_greene_rect_strip_0100_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_strip.,rect_strip
inputs/fort_greene_rect_infill_0101_input.png,targets/fort_greene_rect_infill_0101_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_infill.,rect_infill
inputs/freedom_tower_full_0102_input.png,targets/freedom_tower_full_0102_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: full.,full
inputs/freedom_tower_quadrant_0103_input.png,targets/freedom_tower_quadrant_0103_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: quadrant.,quadrant
inputs/freedom_tower_half_0104_input.png,targets/freedom_tower_half_0104_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: half.,half
inputs/freedom_tower_middle_0105_input.png,targets/freedom_tower_middle_0105_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: middle.,middle
inputs/freedom_tower_rect_strip_0106_input.png,targets/freedom_tower_rect_strip_0106_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_strip.,rect_strip
inputs/freedom_tower_rect_infill_0107_input.png,targets/freedom_tower_rect_infill_0107_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_infill.,rect_infill
inputs/grand_central_full_0108_input.png,targets/grand_central_full_0108_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: full.,full
inputs/grand_central_quadrant_0109_input.png,targets/grand_central_quadrant_0109_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: quadrant.,quadrant
inputs/grand_central_half_0110_input.png,targets/grand_central_half_0110_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: half.,half
inputs/grand_central_middle_0111_input.png,targets/grand_central_middle_0111_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: middle.,middle
inputs/grand_central_rect_strip_0112_input.png,targets/grand_central_rect_strip_0112_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_strip.,rect_strip
inputs/grand_central_rect_infill_0113_input.png,targets/grand_central_rect_infill_0113_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_infill.,rect_infill
inputs/greenpoint_full_0114_input.png,targets/greenpoint_full_0114_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: full.,full
inputs/greenpoint_quadrant_0115_input.png,targets/greenpoint_quadrant_0115_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: quadrant.,quadrant
inputs/greenpoint_half_0116_input.png,targets/greenpoint_half_0116_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: half.,half
inputs/greenpoint_middle_0117_input.png,targets/greenpoint_middle_0117_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: middle.,middle
inputs/greenpoint_rect_strip_0118_input.png,targets/greenpoint_rect_strip_0118_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_strip.,rect_strip
inputs/greenpoint_rect_infill_0119_input.png,targets/greenpoint_rect_infill_0119_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_infill.,rect_infill
inputs/harlem_full_0120_input.png,targets/harlem_full_0120_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: full.,full
inputs/harlem_quadrant_0121_input.png,targets/harlem_quadrant_0121_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: quadrant.,quadrant
inputs/harlem_half_0122_input.png,targets/harlem_half_0122_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: half.,half
inputs/harlem_middle_0123_input.png,targets/harlem_middle_0123_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: middle.,middle
inputs/harlem_rect_strip_0124_input.png,targets/harlem_rect_strip_0124_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_strip.,rect_strip
inputs/harlem_rect_infill_0125_input.png,targets/harlem_rect_infill_0125_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_infill.,rect_infill
inputs/hudson_yards_full_0126_input.png,targets/hudson_yards_full_0126_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: full.,full
inputs/hudson_yards_quadrant_0127_input.png,targets/hudson_yards_quadrant_0127_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: quadrant.,quadrant
inputs/hudson_yards_half_0128_input.png,targets/hudson_yards_half_0128_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: half.,half
inputs/hudson_yards_middle_0129_input.png,targets/hudson_yards_middle_0129_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: middle.,middle
inputs/hudson_yards_rect_strip_0130_input.png,targets/hudson_yards_rect_strip_0130_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_strip.,rect_strip
inputs/hudson_yards_rect_infill_0131_input.png,targets/hudson_yards_rect_infill_0131_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_infill.,rect_infill
inputs/inwood_full_0132_input.png,targets/inwood_full_0132_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: full.,full
inputs/inwood_quadrant_0133_input.png,targets/inwood_quadrant_0133_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: quadrant.,quadrant
inputs/inwood_half_0134_input.png,targets/inwood_half_0134_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: half.,half
inputs/inwood_middle_0135_input.png,targets/inwood_middle_0135_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: middle.,middle
inputs/inwood_rect_strip_0136_input.png,targets/inwood_rect_strip_0136_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_strip.,rect_strip
